clip_id,window_start,window_end,track_a_id,track_b_id,label,accel_mean,accel_var,accel_range,accel_energy,rel_vel_mean,rel_vel_var,rel_vel_range,rel_vel_energy
S005C002P017R002A060,0,4,0,1,0,0.6,0.24000000000000005,1.0,3.0,0.03175143092417289,0.00357724126397053,0.15122931174251278,0.022926973148515262
S005C002P017R002A060,1,5,0,1,0,0.8,0.16000000000000006,1.0,4.0,0.09865950145054454,0.01723514691104267,0.3345403526318583,0.13484422068756335
S005C002P017R002A060,2,6,0,1,0,1.0,0.0,0.0,5.0,0.06841363910204198,0.0177143571763054,0.3345403526318583,0.11197391595744922
S005C002P017R002A060,3,7,0,1,0,1.0,0.0,0.0,5.0,0.06841363910204198,0.0177143571763054,0.3345403526318583,0.11197391595744922
S005C002P017R002A060,4,8,0,1,0,0.9552225375078504,0.008020084588943505,0.22388731246074867,4.602350903759399,0.06690807052637165,0.017906759606247696,0.3345403526318583,0.11191724753904808
S005C002P017R002A060,5,9,0,1,0,0.9552225375078504,0.008020084588943504,0.22388731246074867,4.602350903759399,0.06690807052637165,0.017906759606247696,0.3345403526318583,0.11191724753904808
S005C002P017R002A060,6,10,0,1,0,0.9552225375078504,0.008020084588943504,0.22388731246074867,4.602350903759399,0.0,0.0,0.0,0.0
S005C002P017R002A060,7,11,0,1,0,0.9552225375078504,0.008020084588943502,0.22388731246074867,4.602350903759399,0.0,0.0,0.0,0.0
S005C002P017R002A060,8,12,0,1,0,0.9552225375078504,0.008020084588943502,0.22388731246074867,4.602350903759399,0.0,0.0,0.0,0.0
S005C002P017R002A060,9,13,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S005C002P017R002A060,10,14,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S005C002P017R002A060,11,15,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S005C002P017R002A060,12,16,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S005C002P017R002A060,13,17,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S005C002P017R002A060,14,18,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S005C002P017R002A060,15,19,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S005C002P017R002A060,16,20,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S005C002P017R002A060,17,21,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S005C002P017R002A060,18,22,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,19,23,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S005C002P017R002A060,20,24,0,1,0,1.0,0.0,0.0,5.0,0.2808487871346867,0.15380659067072483,1.0,1.163413159528747
S005C002P017R002A060,21,25,0,1,0,1.0,0.0,0.0,5.0,0.36380200474838814,0.13473691480913372,1.0,1.3354440673403996
S005C002P017R002A060,22,26,0,1,0,1.0,0.0,0.0,5.0,0.39172447924553494,0.11753906873811348,1.0,1.3549356818914948
S005C002P017R002A060,23,27,0,1,0,1.0,0.0,0.0,5.0,0.39172447924553494,0.11753906873811346,1.0,1.3549356818914948
S005C002P017R002A060,24,28,0,1,0,1.0,0.0,0.0,5.0,0.39172447924553494,0.11753906873811346,1.0,1.354935681891495
S005C002P017R002A060,25,29,0,1,0,1.0,0.0,0.0,5.0,0.31087569211084826,0.1416608085271507,1.0,1.191522522362748
S005C002P017R002A060,26,30,0,1,0,1.0,0.0,0.0,5.0,0.2279224744971468,0.15194966852931652,1.0,1.0194916145510953
S005C002P017R002A060,27,31,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S005C002P017R002A060,28,32,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S005C002P017R002A060,29,33,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S005C002P017R002A060,30,34,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S005C002P017R002A060,31,35,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S005C002P017R002A060,32,36,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S005C002P017R002A060,33,37,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S005C002P017R002A060,34,38,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,35,39,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,36,40,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,37,41,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,38,42,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,39,43,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,40,44,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,41,45,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,42,46,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,43,47,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,44,48,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,45,49,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,46,50,0,1,0,1.0,0.0,0.0,5.0,0.09337289039351927,0.034873986641760654,0.46686445196759635,0.2179624165110041
S005C002P017R002A060,47,51,0,1,0,1.0,0.0,0.0,5.0,0.09337289039351927,0.034873986641760654,0.46686445196759635,0.2179624165110041
S005C002P017R002A060,48,52,0,1,0,1.0,0.0,0.0,5.0,0.09337289039351927,0.034873986641760654,0.46686445196759635,0.2179624165110041
S005C002P017R002A060,49,53,0,1,0,1.0,0.0,0.0,5.0,0.09337289039351927,0.034873986641760654,0.46686445196759635,0.2179624165110041
S005C002P017R002A060,50,54,0,1,0,1.0,0.0,0.0,5.0,0.09337289039351927,0.034873986641760654,0.46686445196759635,0.2179624165110041
S005C002P017R002A060,51,55,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,52,56,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,53,57,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,54,58,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,55,59,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,56,60,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,57,61,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,58,62,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S005C002P017R002A060,59,63,0,1,0,1.0,0.0,0.0,5.0,0.10798470722886037,0.04664278798121076,0.5399235361443019,0.29151742488256727
S010C001P015R002A056,0,4,0,1,0,0.6,0.24000000000000005,1.0,3.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,1,5,0,1,0,0.8,0.16000000000000006,1.0,4.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,2,6,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,3,7,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,4,8,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,5,9,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,6,10,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,7,11,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,8,12,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,9,13,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,10,14,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,11,15,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,12,16,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,13,17,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,14,18,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,15,19,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,16,20,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,17,21,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,18,22,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S010C001P015R002A056,19,23,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S010C001P015R002A056,20,24,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S010C001P015R002A056,21,25,0,1,0,1.0,0.0,0.0,5.0,0.6,0.24000000000000005,1.0,3.0
S010C001P015R002A056,22,26,0,1,0,1.0,0.0,0.0,5.0,0.692438352166295,0.16325337320532587,1.0,3.2136212237804997
S010C001P015R002A056,23,27,0,1,0,1.0,0.0,0.0,5.0,0.692438352166295,0.16325337320532587,1.0,3.2136212237804997
S010C001P015R002A056,24,28,0,1,0,1.0,0.0,0.0,5.0,0.892438352166295,0.046278032338807874,0.5378082391685248,4.2136212237805
S010C001P015R002A056,25,29,0,1,0,1.0,0.0,0.0,5.0,0.892438352166295,0.04627803233880787,0.5378082391685248,4.2136212237805
S010C001P015R002A056,26,30,0,1,0,1.0,0.0,0.0,5.0,0.892438352166295,0.04627803233880787,0.5378082391685248,4.2136212237805
S010C001P015R002A056,27,31,0,1,0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0
S010C001P015R002A056,28,32,0,1,0,1.0,0.0,0.0,5.0,0.8937122899469742,0.045188309233264334,0.5314385502651291,4.219549832177644
S010C001P015R002A056,29,33,0,1,0,1.0,0.0,0.0,5.0,0.8937122899469742,0.045188309233264334,0.5314385502651291,4.219549832177644
S010C001P015R002A056,30,34,0,1,0,1.0,0.0,0.0,5.0,0.6937122899469742,0.16267322521205402,1.0,3.219549832177644
S010C001P015R002A056,31,35,0,1,0,1.0,0.0,0.0,5.0,0.4937122899469742,0.20015814119084369,1.0,2.219549832177644
S010C001P015R002A056,32,36,0,1,0,1.0,0.0,0.0,5.0,0.4138105654325031,0.1447887612449509,1.0,1.580139726542594
S010C001P015R002A056,33,37,0,1,0,1.0,0.0,0.0,5.0,0.4049831140861184,0.14413383529934065,1.0,1.540725789971153
S010C001P015R002A056,34,38,0,1,0,1.0,0.0,0.0,5.0,0.2541799722957014,0.055639353966456175,0.6004913774276448,0.6012340614134984
S010C001P015R002A056,35,39,0,1,0,1.0,0.0,0.0,5.0,0.29763688717139775,0.04110161293018795,0.6004913774276448,0.6484466476763363
S010C001P015R002A056,36,40,0,1,0,1.0,0.0,0.0,5.0,0.4875919121562335,0.07235801432004307,0.7324905505456972,1.5505194356010756
S010C001P015R002A056,37,41,0,1,0,1.0,0.0,0.0,5.0,0.5674936366707045,0.11593688058548354,0.7827154256215184,2.1899295412361255
S010C001P015R002A056,38,42,0,1,0,1.0,0.0,0.0,5.0,0.6826087980701151,0.13600395792325742,0.7827154256215184,3.0097936456299226
S010C001P015R002A056,39,43,0,1,0,1.0,0.0,0.0,5.0,0.633411939860532,0.18864638927963315,1.0,2.9492853741875775
S010C001P015R002A056,40,44,0,1,0,1.0,0.0,0.0,5.0,0.5899550249848358,0.2323676260800897,1.0,2.902072787924739
S010C001P015R002A056,41,45,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S010C001P015R002A056,42,46,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S010C001P015R002A056,43,47,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S010C001P015R002A056,44,48,0,1,0,1.0,0.0,0.0,5.0,0.4,0.24000000000000005,1.0,2.0
S010C001P015R002A056,45,49,0,1,0,1.0,0.0,0.0,5.0,0.592099232810108,0.23392907473684188,1.0,2.9225528811558017
S010C001P015R002A056,46,50,0,1,0,1.0,0.0,0.0,5.0,0.6279490508642989,0.19661661302237946,1.0,2.9546831175187664
S010C001P015R002A056,47,51,0,1,0,1.0,0.0,0.0,5.0,0.827949050864299,0.10543699267665987,0.8207509097290453,3.9546831175187664
S010C001P015R002A056,48,52,0,1,0,1.0,0.0,0.0,5.0,0.6279490508642989,0.19661661302237943,1.0,2.9546831175187664
S010C001P015R002A056,49,53,0,1,0,1.0,0.0,0.0,5.0,0.4279490508642989,0.20779623336809902,1.0,1.9546831175187664
S010C001P015R002A056,50,54,0,1,0,1.0,0.0,0.0,5.0,0.23584981805419095,0.150800910596398,1.0,1.032130236362965
S010C001P015R002A056,51,55,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S010C001P015R002A056,52,56,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,53,57,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S010C001P015R002A056,54,58,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S010C001P015R002A056,55,59,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S010C001P015R002A056,56,60,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S010C001P015R002A056,57,61,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S010C001P015R002A056,58,62,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,59,63,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,60,64,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,61,65,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,62,66,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000003,1.0,1.0
S010C001P015R002A056,63,67,0,1,0,1.0,0.0,0.0,5.0,0.36977566103390946,0.20738483590443996,1.0,1.7205943769875232
S010C001P015R002A056,64,68,0,1,0,1.0,0.0,0.0,5.0,0.36977566103390946,0.20738483590443996,1.0,1.7205943769875232
S010C001P015R002A056,65,69,0,1,0,1.0,0.0,0.0,5.0,0.36977566103390946,0.20738483590443996,1.0,1.7205943769875232
S010C001P015R002A056,66,70,0,1,0,1.0,0.0,0.0,5.0,0.36977566103390946,0.20738483590443996,1.0,1.7205943769875232
S010C001P015R002A056,67,71,0,1,0,1.0,0.0,0.0,5.0,0.16977566103390948,0.11529510031800375,0.8488783051695474,0.7205943769875233
S010C001P015R002A056,68,72,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,69,73,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,70,74,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,71,75,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,72,76,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S010C001P015R002A056,73,77,0,1,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
S008C002P008R002A058,0,4,0,1,0,0.6,0.24000000000000005,1.0,3.0,0.0,0.0,0.0,0.0
S008C002P008R002A058,1,5,0,1,0,0.8,0.16000000000000006,1.0,4.0,0.0036188074493656423,5.2383069422337063e-05,0.01809403724682821,0.0003273941838896066
S008C002P008R002A058,2,6,0,1,0,1.0,0.0,0.0,5.0,0.0036188074493656423,5.2383069422337063e-05,0.01809403724682821,0.0003273941838896066
S008C002P008R002A058,3,7,0,1,0,1.0,0.0,0.0,5.0,0.09691689807936439,0.03419526227946931,0.4664904531499937,0.2179407370639761
S008C002P008R002A058,4,8,0,1,0,1.0,0.0,0.0,5.0,0.09691689807936439,0.03419526227946931,0.4664904531499937,0.2179407370639761
S008C002P008R002A058,5,9,0,1,0,1.0,0.0,0.0,5.0,0.09691689807936439,0.034195262279469306,0.4664904531499937,0.2179407370639761
S008C002P008R002A058,6,10,0,1,0,1.0,0.0,0.0,5.0,0.09329809062999875,0.034818134860813844,0.4664904531499937,0.2176133428800865
S008C002P008R002A058,7,11,0,1,0,1.0,0.0,0.0,5.0,0.10282259250093237,0.03340376372685158,0.4664904531499937,0.21988124627732195
S008C002P008R002A058,8,12,0,1,0,1.0,0.0,0.0,5.0,0.009524501870933628,0.0003628645435576728,0.04762250935466814,0.0022679033972354545
S008C002P008R002A058,9,13,0,1,0,1.0,0.0,0.0,5.0,0.10437455455062734,0.034542195508508566,0.47425026339846854,0.22718121573075226
S008C002P008R002A058,10,14,0,1,0,1.0,0.0,0.0,5.0,0.10437455455062734,0.034542195508508566,0.47425026339846854,0.22718121573075226
S008C002P008R002A058,11,15,0,1,0,1.0,0.0,0.0,5.0,0.10437455455062734,0.034542195508508566,0.47425026339846854,0.22718121573075226
S008C002P008R002A058,12,16,0,1,0,1.0,0.0,0.0,5.0,0.09485005267969371,0.03598612997336269,0.47425026339846854,0.2249133123335168
S008C002P008R002A058,13,17,0,1,0,1.0,0.0,0.0,5.0,0.19627007539142607,0.05789082500678884,0.5071001135586618,0.4820638375047245
S008C002P008R002A058,14,18,0,1,0,1.0,0.0,0.0,5.0,0.10142002271173237,0.04114408402739324,0.5071001135586618,0.2571505251712077
S008C002P008R002A058,15,19,0,1,0,1.0,0.0,0.0,5.0,0.10142002271173237,0.04114408402739324,0.5071001135586618,0.2571505251712077
S008C002P008R002A058,16,20,0,1,0,1.0,0.0,0.0,5.0,0.10142002271173237,0.04114408402739324,0.5071001135586618,0.2571505251712077
S008C002P008R002A058,17,21,0,1,0,1.0,0.0,0.0,5.0,0.3014200227117324,0.16057607494270026,1.0,1.2571505251712076
S008C002P008R002A058,18,22,0,1,0,1.0,0.0,0.0,5.0,0.2734602001160165,0.15220152395793418,1.0,1.1349100250271298
S008C002P008R002A058,19,23,0,1,0,1.0,0.0,0.0,5.0,0.4734602001160165,0.20281744391152756,1.0,2.13491002502713
S008C002P008R002A058,20,24,0,1,0,1.0,0.0,0.0,5.0,0.6734602001160165,0.17343336386512095,1.0,3.13491002502713
S008C002P008R002A058,21,25,0,1,0,1.0,0.0,0.0,5.0,0.6734602001160165,0.17343336386512095,1.0,3.13491002502713
S008C002P008R002A058,22,26,0,1,0,1.0,0.0,0.0,5.0,0.6734602001160165,0.17343336386512095,1.0,3.13491002502713
S008C002P008R002A058,23,27,0,1,0,1.0,0.0,0.0,5.0,0.6733286590287973,0.17351397810528965,1.0,3.1344273058740404
S008C002P008R002A058,24,28,0,1,0,1.0,0.0,0.0,5.0,0.6733286590287973,0.17351397810528968,1.0,3.1344273058740404
S008C002P008R002A058,25,29,0,1,0,1.0,0.0,0.0,5.0,0.4733286590287974,0.20284544171680863,1.0,2.1344273058740404
S008C002P008R002A058,26,30,0,1,0,1.0,0.0,0.0,5.0,0.4733286590287974,0.20284544171680863,1.0,2.1344273058740404
S008C002P008R002A058,27,31,0,1,0,1.0,0.0,0.0,5.0,0.2733286590287974,0.1521769053283276,1.0,1.1344273058740406
S008C002P008R002A058,28,32,0,1,0,1.0,0.0,0.0,5.0,0.2,0.16000000000000006,1.0,1.0
S008C002P008R002A058,29,33,0,1,0,1.0,0.0,0.0,5.0,0.07331742551155554,0.02150177953456998,0.3665871275577777,0.1343861220910624
S008C002P008R002A058,30,34,0,1,0,1.0,0.0,0.0,5.0,0.25214244632694377,0.12319335152659687,0.894125104076941,0.9338458238316629
S008C002P008R002A058,31,35,0,1,0,1.0,0.0,0.0,5.0,0.4521424463269438,0.18233637299581937,1.0,1.933845823831663
S008C002P008R002A058,32,36,0,1,0,1.0,0.0,0.0,5.0,0.6452242292345872,0.15685773322893726,1.0,2.8658601961015218
S008C002P008R002A058,33,37,0,1,0,1.0,0.0,0.0,5.0,0.8452242292345872,0.058768041535102365,0.6334128724422223,3.8658601961015218
S008C002P008R002A058,34,38,0,1,0,1.0,0.0,0.0,5.0,0.9719068037230316,0.0016919796789723177,0.10587489592305899,4.7314740740104595
S008C002P008R002A058,35,39,0,1,0,1.0,0.0,0.0,5.0,0.9930817829076435,0.00019144691094789658,0.03459108546178269,4.932014372269859
S008C002P008R002A058,36,40,0,1,0,1.0,0.0,0.0,5.0,0.9930817829076435,0.00019144691094789658,0.03459108546178269,4.932014372269859
S008C002P008R002A058,37,41,0,1,0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0
S008C002P008R002A058,38,42,0,1,0,1.0,0.0,0.0,5.0,0.9751424316545979,0.0024715948161853443,0.12428784172701046,4.7668717841471375
S008C002P008R002A058,39,43,0,1,0,1.0,0.0,0.0,5.0,0.9560971477437576,0.002975647280220791,0.12428784172701046,4.585487016019847
S008C002P008R002A058,40,44,0,1,0,1.0,0.0,0.0,5.0,0.8688558872077465,0.025759517095947825,0.4362063026800559,3.9033503491575408
